Squad,Season,League,Pts,GD,Pts_P,GD_P,UEFA,Cup,Transfers,CSI
Liverpool,21-22,Premier,92,68,96.9,98.4,90.0,100.0,89.0,95.9725
Manchester City,20-21,Premier,86,51,94.4,93.9,90.0,72.0,173.4,90.89750000000001
Manchester City,21-22,Premier,93,73,97.4,99.4,80.0,72.0,138.9,91.16000000000001
Arsenal,25-26,Premier,85,44,93.9,91.4,90.0,54.0,294.6,88.1225
Manchester City,17-18,Premier,100,79,100.0,100.0,70.0,36.0,317.5,86.1
Liverpool,17-18,Premier,75,46,87.9,93.4,90.0,18.0,173.65,83.22250000000001
Manchester City,18-19,Premier,98,72,98.9,98.9,70.0,100.0,78.59,91.78500000000001
Manchester City,23-24,Premier,91,62,96.4,96.4,70.0,90.0,259.6,89.16
Arsenal,23-24,Premier,89,62,95.4,96.4,70.0,0.0,235.1,79.83500000000001
Manchester City,19-20,Premier,81,67,91.4,97.4,70.0,72.0,169.82,86.06000000000002
Liverpool,19-20,Premier,99,52,99.4,94.4,60.0,36.0,10.4,81.58500000000001
Tottenham,18-19,Premier,71,28,83.4,83.9,90.0,18.0,0.0,78.6725
Chelsea,20-21,Premier,67,22,78.8,78.8,100.0,72.0,267.2,83.42
Arsenal,24-25,Premier,74,35,86.4,87.4,80.0,0.0,107.6,76.48500000000001
Chelsea,21-22,Premier,74,43,86.4,90.9,70.0,72.0,118.0,82.3225
Liverpool,24-25,Premier,84,45,92.9,91.9,60.0,18.0,42.0,76.86
Manchester City,25-26,Premier,78,42,90.4,90.4,60.0,100.0,301.8,83.76
Manchester Utd,17-18,Premier,81,40,91.4,89.4,60.0,90.0,198.4,82.76
Manchester City,16-17,Premier,78,41,90.4,89.9,60.0,72.0,216.25,80.7975
Tottenham,17-18,Premier,77,38,89.9,88.9,60.0,72.0,121.0,80.31000000000002
Tottenham,16-17,Premier,86,60,94.4,95.4,45.0,72.0,83.5,80.135
Arsenal,16-17,Premier,75,33,87.9,86.9,60.0,100.0,113.0,81.81
Liverpool,20-21,Premier,69,26,80.4,82.9,70.0,18.0,84.8,72.3725
Chelsea,18-19,Premier,72,24,85.9,81.4,65.0,36.0,208.8,74.2225
Manchester Utd,20-21,Premier,74,29,86.4,85.4,55.0,54.0,89.95,74.98500000000001
Manchester Utd,16-17,Premier,69,25,80.4,82.4,65.0,54.0,185.0,74.56
Chelsea,17-18,Premier,70,24,82.4,81.4,60.0,100.0,260.5,78.23500000000001
Liverpool,23-24,Premier,82,45,92.4,91.9,35.0,54.0,172.0,74.04750000000001
Liverpool,22-23,Premier,67,28,78.8,83.9,60.0,18.0,140.9,69.6775
Arsenal,18-19,Premier,70,22,82.4,78.8,55.0,18.0,80.15,67.94
Arsenal,22-23,Premier,84,45,92.9,91.9,25.0,18.0,186.2,68.11
Manchester City,24-25,Premier,71,28,83.4,83.9,45.0,90.0,243.0,74.6225
Manchester Utd,18-19,Premier,66,11,75.3,68.8,70.0,54.0,82.7,69.73250000000002
Manchester Utd,19-20,Premier,66,30,75.3,86.4,45.0,72.0,236.8,71.0025
Chelsea,19-20,Premier,66,15,75.3,73.3,60.0,72.0,45.0,70.495
Aston Villa,24-25,Premier,66,7,75.3,63.3,70.0,72.0,214.2,69.745
Chelsea,24-25,Premier,69,21,80.4,77.8,45.0,18.0,259.4,64.465
Liverpool,25-26,Premier,60,10,67.3,68.3,70.0,54.0,483.13,66.97
Aston Villa,25-26,Premier,65,7,73.8,63.3,65.0,18.0,70.5,62.607499999999995
Chelsea,16-17,Premier,93,52,97.4,94.4,0.0,72.0,132.8,69.53500000000001
Manchester Utd,22-23,Premier,75,15,87.9,73.3,35.0,90.0,242.5,70.14
Arsenal,17-18,Premier,63,23,72.8,79.8,45.0,0.0,152.85,60.845
Tottenham,19-20,Premier,59,14,64.8,72.3,60.0,36.0,150.5,63.1575
Newcastle,23-24,Premier,60,23,67.3,79.8,45.0,54.0,156.3,64.4575
Arsenal,20-21,Premier,61,16,69.3,75.3,45.0,18.0,86.0,60.044999999999995
Tottenham,22-23,Premier,60,7,67.3,63.3,60.0,36.0,181.7,61.045
Liverpool,16-17,Premier,76,36,89.4,88.4,0.0,18.0,79.9,59.585
Aston Villa,23-24,Premier,68,15,79.8,73.3,25.0,18.0,111.5,57.8075
Tottenham,21-22,Premier,71,29,83.4,85.4,5.0,36.0,95.9,59.71000000000001
Tottenham,20-21,Premier,62,23,71.3,79.8,25.0,36.0,110.5,58.9575
Manchester Utd,21-22,Premier,58,0,64.3,56.2,60.0,18.0,142.0,55.9625
Newcastle,22-23,Premier,71,35,83.4,87.4,0.0,0.0,189.1,55.510000000000005
Leicester City,20-21,Premier,66,18,75.3,75.8,20.0,100.0,59.4,64.1075
West Ham,21-22,Premier,56,9,61.3,66.8,45.0,36.0,74.5,56.4825
Chelsea,25-26,Premier,52,6,52.2,62.3,60.0,90.0,339.15,61.2125
Wolves,19-20,Premier,59,11,64.8,68.8,35.0,0.0,116.7,52.17
Manchester Utd,25-26,Premier,71,19,83.4,76.8,0.0,0.0,246.7,52.065
Manchester Utd,23-24,Premier,60,-1,67.3,54.2,45.0,100.0,212.7,60.737500000000004
Leicester City,19-20,Premier,62,26,71.3,82.9,0.0,54.0,104.3,55.51499999999999
Newcastle,24-25,Premier,66,21,75.3,77.8,0.0,36.0,68.2,53.3575
Arsenal,21-22,Premier,69,13,80.4,71.3,0.0,0.0,167.4,49.302499999999995
Newcastle,25-26,Premier,49,-2,47.2,51.7,60.0,36.0,278.85,50.74250000000001
Brighton,22-23,Premier,62,19,71.3,76.8,0.0,72.0,55.7,55.3325
West Ham,20-21,Premier,65,15,73.8,73.3,0.0,36.0,54.7,51.4075
Tottenham,23-24,Premier,66,13,75.3,71.3,0.0,18.0,275.1,49.445
Chelsea,23-24,Premier,63,14,72.8,72.3,0.0,72.0,448.1,54.3575
Everton,16-17,Premier,61,18,69.3,75.8,0.0,0.0,86.0,47.1575
Arsenal,19-20,Premier,56,8,61.3,65.3,20.0,100.0,160.8,56.144999999999996
Nottingham,24-25,Premier,65,12,73.8,69.8,0.0,72.0,105.5,53.870000000000005
Brentford,22-23,Premier,59,12,64.8,69.8,0.0,0.0,49.25,43.745
Leicester City,21-22,Premier,52,3,52.2,59.2,25.0,18.0,67.6,44.255
Brighton,24-25,Premier,61,7,69.3,63.3,0.0,54.0,281.45,48.495
Chelsea,22-23,Premier,44,-9,32.6,39.6,70.0,0.0,630.25,40.965
Aston Villa,22-23,Premier,61,5,69.3,61.8,0.0,0.0,113.0,42.6075
Bournemouth,24-25,Premier,56,12,61.3,69.8,0.0,54.0,145.17,48.0075
Leeds United,20-21,Premier,59,8,64.8,65.3,0.0,0.0,127.8,42.2825
Brentford,24-25,Premier,56,9,61.3,66.8,0.0,0.0,98.4,41.6325
Aston Villa,20-21,Premier,55,9,60.8,66.8,0.0,0.0,101.35,41.47
Tottenham,24-25,Premier,38,-1,17.5,54.2,65.0,18.0,185.35,41.3525
Bournemouth,25-26,Premier,57,4,63.3,60.8,0.0,0.0,181.1,40.332499999999996
Leicester City,16-17,Premier,44,-15,32.6,30.6,70.0,36.0,92.1,41.64000000000001
Everton,18-19,Premier,54,8,57.7,65.3,0.0,18.0,99.8,41.775
Wolves,18-19,Premier,57,1,63.3,58.2,0.0,72.0,117.5,46.68750000000001
Nottingham,25-26,Premier,44,-3,32.6,49.7,45.0,0.0,241.83,37.9975
Everton,20-21,Premier,59,-1,64.8,54.2,0.0,54.0,74.37,44.075
Brighton,25-26,Premier,53,6,56.2,62.3,0.0,18.0,82.0,40.3125
Tottenham,25-26,Premier,41,-9,26.1,39.6,60.0,0.0,265.6,36.352500000000006
Brentford,25-26,Premier,53,3,56.2,59.2,0.0,36.0,108.7,41.105000000000004
West Ham,23-24,Premier,52,-14,52.2,33.1,35.0,0.0,144.55,36.472500000000004
Manchester Utd,24-25,Premier,42,-10,29.6,38.1,55.0,36.0,249.4,39.3525
Fulham,24-25,Premier,54,0,57.7,56.2,0.0,54.0,91.55,42.417500000000004
Sheffield United,19-20,Premier,54,0,57.7,56.2,0.0,54.0,72.5,42.417500000000004
Crystal Palace,25-26,Premier,45,-10,37.1,38.1,45.0,0.0,145.0,35.69
Crystal Palace,24-25,Premier,53,0,56.2,56.2,0.0,100.0,91.9,46.53
Leicester City,18-19,Premier,52,3,52.2,59.2,0.0,0.0,114.6,36.205000000000005
Fulham,22-23,Premier,52,2,52.2,58.7,0.0,54.0,76.1,41.4425
Brighton,23-24,Premier,48,-7,45.2,43.7,25.0,36.0,106.85,38.7425
Burnley,17-18,Premier,54,-3,57.7,49.7,0.0,0.0,35.74,34.905
Crystal Palace,21-22,Premier,48,4,45.2,60.8,0.0,72.0,85.62,41.650000000000006
Sunderland,25-26,Premier,54,-6,57.7,46.2,0.0,36.0,213.44,37.36750000000001
