Squad,Season,League,Pts,GD,PtsPerc,GDPerc,UEFAScore,Transfers,CSI
Bournemouth,24-25,Premier,56,12,61.3,69.8,0,145.17,45.885
Arsenal,19-20,Premier,56,8,61.3,65.3,20,160.8,50.31
Arsenal,25-26,Premier,85,44,93.9,91.4,90,294.6,91.855
West Ham,17-18,Premier,42,-20,29.6,21.6,0,56.8,17.92
Manchester City,24-25,Premier,71,28,83.4,83.9,45,243.0,72.055
Manchester Utd,19-20,Premier,66,30,75.3,86.4,45,236.8,70.095
Chelsea,17-18,Premier,70,24,82.4,81.4,60,260.5,75.33
Manchester City,17-18,Premier,100,79,100,100,70,317.5,91
Brentford,23-24,Premier,39,-9,19,39.6,0,72.35,20.51
West Ham,23-24,Premier,52,-14,52.2,33.1,35,144.55,40.355
Manchester Utd,22-23,Premier,75,15,87.9,73.3,35,242.5,66.92
Leicester City,22-23,Premier,34,-17,12,27.1,0,49.0,13.685
Crystal Palace,25-26,Premier,45,-10,37.1,38.1,45,145.0,39.82
Manchester City,25-26,Premier,78,42,90.4,90.4,60,301.8,81.28
Burnley,21-22,Premier,35,-19,14.5,24.1,0,49.4,13.51
Leeds United,25-26,Premier,47,-7,43.7,43.7,0,113.7,30.59
Wolves,23-24,Premier,46,-15,41.7,30.6,0,94.0,25.305
West Ham,16-17,Premier,45,-17,37.1,27.1,0,83.5,22.47
Bournemouth,18-19,Premier,45,-14,37.1,33.1,0,91.6,24.57
Chelsea,24-25,Premier,69,21,80.4,77.8,45,259.4,68.87
Manchester Utd,23-24,Premier,60,-1,67.3,54.2,45,212.7,56.025
Everton,25-26,Premier,49,-3,47.2,49.7,0,129.75,33.915
Newcastle,19-20,Premier,44,-20,32.6,21.6,0,72.4,18.97
Wolves,20-21,Premier,45,-16,37.1,28.1,0,87.59,22.82
Swansea City,16-17,Premier,41,-25,26.1,16,0,58.1,14.735
Everton,19-20,Premier,49,-12,47.2,36.6,0,121.0,29.33
Tottenham,24-25,Premier,38,-1,17.5,54.2,65,185.35,44.595
Bournemouth,25-26,Premier,57,4,63.3,60.8,0,181.1,43.435
Aston Villa,21-22,Premier,45,-2,37.1,51.7,0,129.8,31.08
Manchester Utd,25-26,Premier,71,19,83.4,76.8,0,246.7,56.07
Southampton,18-19,Premier,39,-20,19,21.6,0,62.25,14.21
Watford,17-18,Premier,41,-20,26.1,21.6,0,73.4,16.695
Southampton,21-22,Premier,40,-24,22.6,18.5,0,63.4,14.385
Southampton,17-18,Premier,36,-19,15.5,24.1,0,61.25,13.86
Luton Town,23-24,Premier,26,-33,7,10,0,25.9,5.95
Brighton,17-18,Premier,40,-20,22.6,21.6,0,70.0,15.47
Bournemouth,23-24,Premier,48,-13,45.2,34.6,0,129.89,27.93
Fulham,20-21,Premier,28,-26,8.5,14.5,0,37.25,8.05
Crystal Palace,16-17,Premier,41,-13,26.1,34.6,0,101.2,21.245
Newcastle,25-26,Premier,49,-2,47.2,51.7,60,278.85,52.615
Tottenham,23-24,Premier,66,13,75.3,71.3,0,275.1,51.31
Newcastle,21-22,Premier,49,-18,47.2,26.1,0,138.5,25.655
Bournemouth,19-20,Premier,34,-25,12,16,0,54.91,9.8
Wolves,24-25,Premier,42,-15,29.6,30.6,0,119.4,21.07
Nottingham,25-26,Premier,44,-3,32.6,49.7,45,241.83,42.305
Watford,16-17,Premier,40,-28,22.6,12.5,0,70.45,12.285
Chelsea,25-26,Premier,52,6,52.2,62.3,60,339.15,58.075
Huddersfield,17-18,Premier,37,-30,17,11,0,56.75,9.8
West Ham,22-23,Premier,40,-13,22.6,34.6,45,196.6,33.52
Sunderland,25-26,Premier,54,-6,57.7,46.2,0,213.44,36.365
Middlesbrough,16-17,Premier,28,-26,8.5,14.5,0,47.95,8.05
Brighton,24-25,Premier,61,7,69.3,63.3,0,281.45,46.41
West Brom,17-18,Premier,31,-25,9.5,16,0,53.5,8.925
